Kode	Uraian	Satuan	 Harga 
M.103	Politur Jadi	Ltr	 Rp77,000 
M.104	Vernis	Ltr	 Rp63,000 
M.105	Dempul	Kg	 Rp46,700 
M.106	Alang-alang	Ikat	 Rp82,900 
M.107	Wallpaper	m2	 Rp598,500 
M.108	Kanstin Uk. 10x20x40cm Beton f'c 20 MPa	Buah	 Rp81,500 
M.109	Kanstin Uk. 15x40x60cm Beton f'c 25 MPa	Buah	 Rp178,200 
	 HARGA BAHAN ARSITEKTURAL		 Rp- 
M.110	Akrilik	m2	 Rp1,913,000 
M.111	Akustik Uk. 30x30cm	Lbr	 Rp30,800 
M.112	Akustik Uk. 30x60cm	Lbr	 Rp68,100 
M.113	Akustik Uk. 60x120cm	Lbr	 Rp312,500 
M.114	Alumunium Foil	m2	 Rp55,000 
M.115	Alumunium Foil Double Side	m2	 Rp60,100 
M.116	Aluminium Gelombang Uk. 95x180cm	Lbr	 Rp197,600 
M.117	Aluminium Spandrel 0.1m x 6m	Lbr	 Rp273,000 
M.118	Aluminium Strip	m1	 Rp57,400 
M.119	Asbes Gelombang	Lbr	 Rp85,400 
M.120	Atap Metal Berpasir	m2	 Rp366,100 
M.121	Atap Metal Menerus Tebal 0.4mm	m2	 Rp410,000 
M.122	Atap UPVC Uk. 86x1190cm	Lbr	 Rp272,900 
M.123	Batu Paras	m2	 Rp146,300 
M.124	Banner Plastik 0.6x0.8 m2	m2	 Rp255,100 
M.125	Batu Tempel Hitam	m2	 Rp198,300 
M.126	Block Board Tebal 2x18mm	m2	 Rp301,600 
M.127	Bubuk Poles	Kg	 Rp203,800 
M.128	Bubung Setel Gelombang 92cm	Lbr	 Rp71,400 
M.129	Bubung Setel Gelombang 105cm	Lbr	 Rp86,400 
M.130	Bubung Setel Gelombang 108cm	Lbr	 Rp104,600 
M.131	Cutting Stiker	Set	 Rp127,600 
M.132	Cutting Stiker	m2	 Rp510,100 
M.133	Cairan Primer	Kg	 Rp31,900 
M.134	Formika Uk. 120x240cm	Lbr	 Rp328,800 
M.135	Engineering Wood	m2	 Rp202,400 
M.136	Genteng Aspal Uk. 0.8x1m	Buah	 Rp225,100 
M.137	Genteng Beton	Buah	 Rp18,100 
M.138	Genteng Bubung	Buah	 Rp41,800 
M.139	Genteng Kodok	Buah	 Rp6,000 
M.140	Genteng Palentong	Buah	 Rp6,100 
M.141	Genteng Palentong Besar (Morando)	Buah	 Rp19,700 
M.142	Glasswool Tebal 8cm	m2	 Rp237,900 
M.143	GRC Pelat. t=4mm. Uk 122x244cm	Lbr	 Rp100,200 
M.144	HB-10	Buah	 Rp29,300 
