1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
	 Pasir Beton	M.25	Kg	888.000	 200.00 	 177,600.00 
	 Kerikil (Maks 19mm)	M.21	Kg	1.009	 200.00 	 201.80 
	 Air	M.1	Ltr	202.000	 200.00 	 40,400.00 
				 JUMLAH HARGA BAHAN		 618,201.80 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 927,392.20 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 927,392.20 
						
						
2.2.1.3.1	Pek. Pemasangan 1 m2 Bekisting untuk Pondasi Telapak (3 Kali Pakai)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.5200	 152,900.00 	 79,508.00 
	 Tukang Kayu	 L.02	OH	0.2600	 178,600.00 	 46,436.00 
	 Kepala Tukang	 L.03	OH	0.0260	 204,300.00 	 5,311.80 
	 Mandor	 L.04	OH	0.0090	 230,000.00 	 2,070.00 
				 JUMLAH HARGA TENAGA KERJA		 133,325.80 
B	 BAHAN				  	  
	 Papan Kayu Kelas III	M.409	m3	0.016	 3,433,000.00 	 54,928.00 
	 Paku 5 - 10cm	M.58	Kg	0.300	 31,100.00 	 9,330.00 
	 Minyak Bekisting	M.81	Ltr	0.100	 15,900.00 	 1,590.00 
				 JUMLAH HARGA BAHAN		 65,848.00 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 199,173.80 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 199,173.80 
						
						
2.2.1.3.3	Pek. Pemasangan 1 m2 Bekisting untuk Sloof (3 Kali Pakai)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.5200	 152,900.00 	 79,508.00 
	 Tukang Kayu	 L.02	OH	0.2600	 178,600.00 	 46,436.00 
	 Kepala Tukang	 L.03	OH	0.0260	 204,300.00 	 5,311.80 
	 Mandor	 L.04	OH	0.0090	 230,000.00 	 2,070.00 
				 JUMLAH HARGA TENAGA KERJA		 133,325.80 
B	 BAHAN					  
	 Papan Kayu Kelas III	M.409	m3	0.018	 3,433,000.00 	 61,794.00 
	 Paku 5 - 10cm	M.58	Kg	0.300	 31,100.00 	 9,330.00 
	 Minyak Bekisting	M.81	Ltr	0.100	 15,900.00 	 1,590.00 
				 JUMLAH HARGA BAHAN		 72,714.00 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
